Trait,Source,Definition
Incompatibility System,Ecological Flora,"['none', 'gametophytic 1 locus', 'gametophytic 2 locus', 'gametophytic >2 locus', 'di-allelic sporophytic', 'multi-allelic sporophytic', 'mechanism unknown']"
Inflorescence type,Ecological Flora,['description']
"Integrated water-use efficiency (d13C, V).",Ecological Flora,['(Delta 13C (∆13C) isotope ratio [Pérez-Harguindeguy et al. 2016].)']
January mean temperature,Ecological Flora,['(Calculated from New Atlas plus climatic data)']
July mean temperature,Ecological Flora,['(Calculated from New Atlas plus climatic data)']
L: Light (values for canopy tree species refer to preferences of the sapling stage of the life cycle),Ecological Flora,"['1(1 Plant in deep shade (no examples for GB). 2 3 4 5 6 7 8 9)', '2(Between 1 and 3 (Epipogium aphyllum, Neottia nidus-avis, Trichomanes speciosum).)', '3(Shade plant, mostly less than 5% relative illumination, seldom more than 30% illumination when trees are in full leaf (Galium odoratum, Listera cordata, Mercurialis perennis).)', '4(Between 3 and 5 (Circaea lutetiana, Lamiastrum galeobdolum, Poa nemoralis).)', '5(Semi-shade plant, rarely in full light, but generally with more than 10% relative illumination when trees are in leaf (Carex pendula, Hyacinthoides non-scripta, Primula vulgaris).)', '6(Between 5 and 7 (Anthriscus sylvestris, Digitalis purpurea, Teucrium scorodonia).)', '7(Plant generally in well lit places, but also occurring in partial shade (Arrhenatherum elatius, Carex flacca, Poa trivialis, Vicia cracca).)', '8(Light-loving plant rarely found where relative illumination in summer is less than 40% (Cardamine hirsuta, Orchis morio, Thymus polytrichus, Vaccinium oxycoccus).)', '9(Plant in full light, found mostly in full sun (Aster tripolium, Melilotus albus, Poa compressa, Primula farinosa).)', '', '']"
Leaf area (sq cm),Ecological Flora,"['<0.1(area of entire leaf if compound)', '0.1-1', '45931', '10-100', '100-1000', '>1000']"
"Leaf division degree (LeafDivision, F).",Ecological Flora,"['(Division degree of leaves (or phyllodes). For species with different stem and basal leaves, it refers to stem leaves.)', 'simple(simple leaves.)', 'compound(compound or divided leaves.)']"
"Leaf dry matter content (LDMC, V).",Ecological Flora,"['(mg g-1),(Dry matter content of leaves (mg g-1), that is, the ratio of the dry mass of a leaf to its water saturated fresh mass40,41.)']"
Leaf folding ( grasses),Ecological Flora,"['folded', 'Rolled']"
Leaf lamina thickness (mm),Ecological Flora,"['<0.2', '0.2-0.5', '0.5-1.0', '1.0-2.0']"
Leaf longevity: 1. type,Ecological Flora,"['aestival(spring-autumn)', 'vernal(winter-spring)', 'hibernal(autumn - early summer)', 'semi-evergreen(evergreen in some habitats or incomplete senescence)', 'evergreen']"
Leaf longevity: 2. Number of months,Ecological Flora,"['0-1', '45811', '45998', '13-24', '>24']"
"Leaf phenology (LeafPhenology, F).",Ecological Flora,"['(Phenology of leaves (or phyllodes). For woody species only.)', 'evergreen(plant that maintains green leaves all year.)', 'winter deciduous(plant that drops all its leaves during the winter.)', 'winter semi-deciduous(plant that drops part of its leaves during the winter, maintaining some brownish leaves in the crown)', 'drought semi-deciduous(plant that drops part of its leaves during the dry period (excluding species that drop leaves only in very extreme droughts).)']"
Leaf position,Ecological Flora,"['emergent(Aquatic plants)', 'floating', 'submerged']"
Leaf shape: 3 tip shape,Ecological Flora,"['not applicable(leafless plants)', 'pointed', 'rounded', 'mucronate', 'emarginate']"
Leaf shape: 4 length versus breadth,Ecological Flora,"['not applicable(leafless plants)', '>3 X as long as wide', '1-3 X as long as wide', 'length = width', 'shorter than broad']"
Leaf shape: 5: leaf base,Ecological Flora,"['not applicable(leafless plants)', 'saggitate', 'cordate', 'rounded', 'truncate', 'parallel sided', 'cuneate', 'central']"
Leaf shape: 6,Ecological Flora,"['not applicable(leafless plants)', 'clasping', 'petiolate', 'subsessile', 'sessile', 'connate', 'sheathing']"
Leaf shape: 7 minimum petiole length,Ecological Flora,['value mm.']
Leaf shape: 8: maximum petiole length,Ecological Flora,['value mm.']
Leaf shape:1. outline,Ecological Flora,"['not applicable(leafless plants)', 'entire', 'crenate', 'toothed', 'lobed', 'lobed and toothed', 'serrulate']"
Leaf shape:1. type,Ecological Flora,"['compound', 'simple', 'absent', 'modified(Carnivorous plants)']"
Lemma glume (grasses) size and description,Ecological Flora,"['', '', '']"
Life Form,Ecological Flora,"['L1(L1: the normal state.)', 'L2(L2 :the less frequent state)', 'Ch(chamaephyte)', 'Gb(Bulbous geophyte)', 'Gn(Non-bulbous geophyte)', 'Hc(Hemicryptophyte)', 'Hy(Perennial hydrophyte)', 'Hz(Annual hydrophyte (aquatic therophyte))', 'Ph(Mega- meso- and micro- phanerophyte)', 'Pn(Nanophanerophyte)', 'Th(Therophyte)']"
"Life Form (GrowthForm, F).",Ecological Flora,"['Life Form\xa0(GrowthForm, F).(Life Form\xa0(GrowthForm, F).)', '(Morphology of the whole plant related with its size (for non-disturbed individuals).)', 'Tree(very tall woody plant, frequently with one main, primary stem and the green canopy rarely reaching the ground)', 'large shrub(Tall woody plant that under optimal conditions may reach arborescence structure)', 'shrub(woody plants (typically less than 1.5 m), frequently with several shoots growing from the soil level and/or the green canopy reaching the ground.)', 'liana(woody (or slightly ligneous at the base) climber.)', 'subshrub(dwarf woody plant or chamaephytes (typically less than 50 cm), including suffruticose (suffrutescent) plants.)', 'perennial forb(perennial broad-leaved herbaceous plant.)', 'perennial graminoid(perennial grass-like plant.)', 'annual forb(annual broad-leaved herbaceous plant.)', 'annual graminoid(annual grass-like plant.)', 'variable forb(annual, biennial or short-perennial forb.)', 'variable graminoid(annual, biennial or short-perennial grass)', 'geophyte(herbs that persist during the unfavorable period as bulbs, rhizomes or other subterranean storage organs)', 'epiphyte(plants growing on other plants for physical support.)']"
Life form,Ecological Flora,"['therophyte', 'hemicryptophyte', 'helophyte', 'hydrophyte', 'geophyte', 'chamaehpyte', 'phanerophyte', 'epiphyte']"
Ligule (description),Ecological Flora,
Longevity,Ecological Flora,"['(Average maximum age (=longevity) for perennials (year).)', 'very short(<= 2 yr)', 'short(2-5 yr)', 'medium(5-25 yr)', 'long(25-150 yr)', 'very long(> 150 yr)']"
Lower glume (grasses) size and description,Ecological Flora,
"Mass-based leaf nitrogen content (LNCm, V).",Ecological Flora,"['Leaf nitrogen content (mass-based) (mg g-1), that is, the ratio of the quantity of nitrogen in the leaf per respective unit dry mass40,41.(Leaf nitrogen content (mass-based) (mg g-1), that is, the ratio of the quantity of nitrogen in the leaf per respective unit dry mass40,41.)']"
Mature leaf N concentration (mg/g),Ecological Flora,"['<5', '45935', '44105', '20-30']"
Mature leaf P concentration (mg/g),Ecological Flora,"['<1', '45689', '45718', '>3']"
Max stem diameter (mm),Ecological Flora,['value']
Maximum depth of leaves,Ecological Flora,"['<0.5m(Aquatic species)', '>0/5m']"
"Maximum rooting depth (RootDepth, V).",Ecological Flora,['(Maximum depth of the roots (m))']
Maximum seedbank density,Ecological Flora,['value (m2)']
Maximum temperature for 50% germination,Ecological Flora,['value ºc']
Maximum temperature of germination,Ecological Flora,['value ºc']
Mean Dry Weight (mg),Ecological Flora,"['value', '']"
Mean Spore Diameter (Pteridophytes),Ecological Flora,['value (µm)']
Mean seedbank density,Ecological Flora,['value (m2)']
Minimum seedbank density,Ecological Flora,['value (m2)']
Minimum temperature for 50% germination,Ecological Flora,['value ºc']
Minimum temperature of germination,Ecological Flora,['value ºc']
Mono/polycarpic,Ecological Flora,"['monocarpic', 'facultatively polycarpic(may but does not always flower more than once)', 'polycarpic']"
N : Nitrogen (in effect a general indicator of soil fertility),Ecological Flora,"['1(Indicator of extremely infertile sites (Agrostis curtisii, Clinopodium acinos, Drosera rotundifolia, Rubus chamaemorus).)', '2(Between 1 and 3 (Aira praecox, Carex panicea, Linum catharticum, Scabiosa columbaria).)', '3(Indicator of more or less infertile sites (Centaurea scabiosa, Galium saxatile, Pimpinella saxifraga, Teucrium scorodonia).)', '4(Between 3 and 5 (Agrostis capillaris, Cirsium palustre, Plantago lanceolata, Primula vulgaris).)', '5(Indicator of sites of intermediate fertility (Angelica sylvestris, Digitalis purpurea, Iris foetidissima, Trifolium pratense).)', '6(Between 5 and 7 (Cirsium arvense, Glyceria fluitans, Poa trivialis, Rumex crispus).)', '7(Plant often found in richly fertile places (Atriplex prostrata, Epilobium hirsutum, Stellaria media, Typha latifolia).)', '8(Between 7 and 9 (Beta vulgaris, Galium aparine, Lamium album, Urtica dioica).)', '9(Indicator of extremely rich situations, such as cattle resting places or near polluted rivers (Arctium lappa, Artemisia absinthium, Hyoscyamus niger, Rumex obtusifolius).)']"
Normal method of propagation,Ecological Flora,"['seed', 'seed and vegetative', 'vegetative']"
"Northern European Limit (Lat, 5º band)",Ecological Flora,
Northern Limit in Britain,Ecological Flora,"['Yes(Native taxa at their northern European limit in the Br. Isles)', 'No(Native taxa not at their northern European limit in the Br. Isles)']"
Number ofEuropean countries where native,Ecological Flora,
Nutrition,Ecological Flora,"['autotrophic', 'mycotropic(dependent on a fungal symbiont for all or part of its carbon supply when adult)', 'hemi-parasitic', 'parasitic']"
"Nutritional relationships (NutritionalRelat, V).",Ecological Flora,"['(Long-term relationship with other species that are implicated in nutrient and/or energy uptake.)', 'ectomycorrhizal symbiosis(#NAME?)', 'endomycorrhizal symbiosis(plants with a mutualistic relationship with endomycorrhizal fungi.)', 'nodule bacteria symbiosis(plant with a mutualistic relationship with nitrogen-fixing bacteria.)', 'hemiparasite(photosynthetic plant (hemiparasite) that parasitize another photosynthetic plant (host).)', 'parasite(non-photosynthetic plant that parasitize either a photosynthetic plant (i.e. holoparasites) or a fungus (i.e., myco-heterotrophous).)', 'carnivorous(plant acquiring nutrients by capturing animals or protozoa.)', 'others(plants with other types of nutritional relationships, including a combination of several types of symbiosis (e.g. endo- and ectomycorrhizas).)', 'no(plant without obvious nutritional relationships.)']"
"Other germination cues (OtherCues, V).",Ecological Flora,"['(Germination response to exposition to boiling water (blw), mechanical scarification (mec), summer temperature (tsu), temperature fluctuation (tfu), light (lgt). The response is indicated before the bar and the cue tested is indicated after the vertical bar (category|cue, e.g., stimulation|blw).)', 'stimulation(germination of the treated seeds higher than the control.)', 'unaffected(germination of treated seeds equal to the control.)', 'inhibition(germination of the treated seeds lower than the control.)']"
Palea (grasses) size and description,Ecological Flora,
Petal Number,Ecological Flora,['value ?']
Petal size (sepals if perianth of 1 sepaloid whorl),Ecological Flora,['value? (cm)']
Photoperiodism: 1. threshold value,Ecological Flora,['value']
Photoperiodism: 1. type,Ecological Flora,"['long day', 'day neutral', 'short day']"
Photosynthetic pathway,Ecological Flora,"['C3', 'CAM', 'C4']"
Physical defenses on buds,Ecological Flora,['see 6.02 for alternatives']
Physical defenses on flowers/fruits,Ecological Flora,['see 6.02 for alternatives']
Physical defenses on leaves,Ecological Flora,"['Dense hairs', 'glabrous', 'glandular hairs', 'prickles', 'soft hairs', 'spines', 'stiff hairs', 'stinging hairs', 'thick cuticle', 'viscid']"
Physical defenses on stems,Ecological Flora,['see 6.02 for alternatives']
Pollen / ovule ratio,Ecological Flora,['value']
Pollen vector,Ecological Flora,"['insect', 'wind', 'water', 'none', 'selfed']"
Pollen viability,Ecological Flora,"['high', 'variable', 'low']"
Pollen: 1. morphism,Ecological Flora,"['monomorphic', 'dimorphic', 'trimorphic']"
Pollen: 2. diameter,Ecological Flora,['value (µm)(length of polar axis)']
"Post-fire seedling emergence (SeedlEmerg, V).",Ecological Flora,"['(Average density of seedlings per pre-fire mature individuals emerged during the first year after fire. This is a ratio (number of seedlings / number of mature plants) or the following)', 'no(no post-fire seedlings emergence.)', 'low(number of seedlings lower than the number of pre-fire mature individuals.)', 'high(number of seedlings higher than the number of pre-fire mature individuals.)', 'yes(post-fire seedling emergence observed (quantitative data not available).)', 'variable(high variability observed between populations or sampled areas.)']"
"Post-fire seedling survival (SeedlSurv, V).",Ecological Flora,"['(Proportion of seedlings surviving the first dry season after fire (%). or the following)', 'no(no post-fire seedlings survival.)', 'low(survival < 25%)', 'high(survival >= 25%)']"
"R : Reaction (soil pH, or water pH)",Ecological Flora,"['1(Indicator of extreme acidity, never found on weakly acid or basic soils (Andromeda polifolia, Lycopodium clavatum, Rubus chamaemorus, Ulex minor).)', '2(Between 1 and 3 (Agrostis curtisii, Calluna vulgaris, Drosera rotundifolia, Polygala serpyllifolia).)', '3(Acidity indicator, mainly on acid soils, but exceptionally also on nearly neutral ones (Agrostis vinealis, Dactylorhiza maculata, Galium saxatile, Pteridium aquilinum).)', '4(Between 3 and 5 (Agrostis capillaris, Carex panicea, Juncus effusus, Teucrium scorodonia).)', '5(Indicator of moderately acid soils, only occasionally found on very acid or on neutral to basic soils (Cardamine pratensis, Cirsium palustre, Rubus idaeus, Ulex europaeus).)', '6(Between 5 and 7 (Ammophila arenaria, Carex sylvatica, Lolium perenne, Ranunculus ficaria).)', '7(Indicator of weakly acid to weakly basic conditions; never found on very acid soils (Agrimonia eupatoria, Atriplex prostrata, Nuphar lutea, Phleum pratense).)', '8(Between 7 and 9 (Artemisia vulgaris, Carduus nutans, Iris foetidissima, Viola hirsuta).)', '9(Indicator of basic reaction, always found on calcareous or other high-pH soils (Bunium bulbocastanum, Clinopodium calamintha, Dryopteris submontana, Primula farinosa).)']"
Range: 1 European countries where introduced,Ecological Flora,['value - country(information extracted from Flora Europaea)']
Range: 1 European countries where native,Ecological Flora,['value - country(information extracted from Flora Europaea)']
Rarity Status,Ecological Flora,"['n(Present, not rare or scarce)', 's(Scarce, 16-100 km squares in Britain 1987-1999)', 'r(Rare, 1-15 10km squares in Britain 1987-1999)', 'o(ABsent from Britain and the Isle of Man as a native, but present in the channel Islands and/ or Ireland)', 'x(Apparently extinct ( not recorded since 1986))', 'i(Insufficient data available to assess rarity)', '(Alien taxa)']"
"Resistance to xylem cavitation (P50, V).",Ecological Flora,['(Xylem resistance to drought-induced cavitation (in MPa) [Pausas et al. 2016].)']
Response to drought,Ecological Flora,"['resists', 'wilts and recovers', 'wilts', 'wilts and dies']"
Response to frost (non-woody tissue),Ecological Flora,"['very resistant', 'resistant', 'sensitive']"
Response to frost (seedlings),Ecological Flora,"['very resistant', 'resistant', 'sensitive']"
Response to vertebrate grazing,Ecological Flora,"['decreases', 'neutral', 'increases']"
"Resprouting capacity after clipping (RespClip, V).",Ecological Flora,"['(Resprouting capacity one year after clipping 100% of the plant as average proportion of adult plants that resprout (percentage). Not reported for annual plants (which can be assumed to be RespClip=no).)', 'no(without resprouting capacity.)', 'low(few individuals resprouting and/or weak resprouts)', 'high(most individuals resprouting and/or vigorous resprouts.)', 'yes(with resprouting capacity (not quantified).)', 'variable(very high variability observed in the sampling area.)']"
"Resprouting capacity after disturbances (RespDist, V).",Ecological Flora,"['(Resprouting capacity after undefined disturbances (average proportion of adult plants that resprout as percentage). Not reported for annual plants (which can be assumed to be RespDist=no).)', 'no(without resprouting capacity.)', 'low(few individuals resprouting and/or weak sprouts.)', 'high(most individuals resprouting and/or vigorous sprouts.)', 'yes(with resprouting capacity (not quantified))', 'variable(very high variability observed in the sampling area.)']"
"Resprouting capacity after fire (RespFire, V).",Ecological Flora,"['(Resprouting capacity after one year when most of the plant has been scorched (average proportion of adult plants that resprout as percentage). Not reported for annual plants (which can be assumed to be RespFire=no).)', 'no(without resprouting capacity.)', 'low(few individuals resprouting and/or weak sprouts.)', 'high(most individuals resprouting and/or vigorous sprouts.)', 'yes(with resprouting capacity (not quantified).)', 'variable(very high variability observed in the sampling area.)']"
Root depth: 1. type,Ecological Flora,"['shallow(With respect to the height of the stem)', 'deep']"
Root depth: 2 depth (cm),Ecological Flora,"['0-10(depth to include most functional roots)', '18537', '50-100', '>100']"
Root hair length (mm),Ecological Flora,"['<0.1', '0.1-0.5', '0.5-1.0', '1.0-5.0', '>5.0']"
Root hairs,Ecological Flora,"['present', 'absent']"
Root persistence,Ecological Flora,"['<1', '1', '>1']"
Root system:,Ecological Flora,"['absent', 'tap root', 'fibrous', 'adventitious', 'contractile']"
"S : Salt (new definitions have been written for this account; definitions of Ellenberg et al. 1991, have a spurious accuracy).",Ecological Flora,"['0(Absent from saline sites; if in coastal situations, only accidental and nonpersistent if subjected to saline spray or water (85% of the British flora).)', '1(Slightly salt-tolerant species, rare to occasional on saline soils but capable of persisting in the presence of salt includes dune and dune-slack species where the ground water is fresh but where some inputs of salt spray are likely (Calystegia sepium, Chenopodium album, Oenanthe crocata, Sedum anglicum).)', '2(Species occurring in both saline and nonsaline situations, for which saline habitats are not strongly predominant (Atriplex prostrata, Elytrigia repens, Phragmites australis, Rumex crispus).)', '3(Species most common in coastal sites but regularly present in freshwater or on nonsaline soils inland (includes strictly coastal species occurring in sites such as cliff crevices and sand dunes that are not obviously salt-affected) (Cakile maritima, Cochlearia officinalis, Juncus gerardii, Spergularia rupicola). 45 6 7 8 9)', '4(Species of salt meadows and upper saltmarsh, subject to at most only very occasional tidal inundation includes species of brackish conditions (ie of consistent but low salinity) (Atriplex littoralis, Elytrigia atherica, Glaux maritima, Triglochin maritimum).)', '5(Species of the upper edge of saltmarsh, where not inundated by all tides includes obligate halophytes of cliffs receiving regular salt spray (Aster tripolium, Crithmum maritimum, Puccinellia maritima, Suaeda vera).)', '6(Species of mid-level saltmarsh (Atriplex portulacoides, Cochlearia anglica, Limonium vulgare).)', '7(Species of lower saltmarsh (Spartina anglica, Suaeda maritima).)', '8(Species more or less permanently inundated in sea water (Zostera spp.).)', '9(Species of extremely saline conditions, in sites where sea water evaporates, precipitating salt (Salicornia europaea agg. these could equally well be treated as species of the lower marsh).)']"
SN index,Ecological Flora,"['value (0-10)(Derived using the proportion of 10-km squares in which a species)', '(occurs in each of 13 region in Great Britain (see distribution pages for map). Each region is weighted according to how far north it is. Values have been scaled to range from 0-10 by setting the species with the most southerly distribution to a value of 0 and those with the most northerly to 10. Ireland has nt been included in this index.)']"
Salinity,Ecological Flora,"['Fresh', 'Salt affected(in habitats receiving some salt input)', 'Brackish(receiving water with elevated salt content)', 'Saline(regularly covered by salt water)']"
Seed / ovule ratio,Ecological Flora,['value']
"Seed dry mass (SeedMass, V).",Ecological Flora,"['(Average dry mass of seeds (including some single-seeded fruits such as achenes or caryopsis) (mg).)', 'very light(< 3 mg)', 'light(>= 3 and < 30 mg)', 'medium(>= 30 and < 300 mg)', 'heavy']"
Seed production : 1. Maximum per flower,Ecological Flora,['value']
Seed production : 1. typical range per flower,Ecological Flora,"['1', '45931', '10-100', '100-1000', '>1000']"
Seed production : 1. typical range per plant,Ecological Flora,"['1', '45931', '10-100', '100-1000', '1000-10000', '>10000']"
Seed size - length of longest axis,Ecological Flora,['value (mm)']
Seed viability,Ecological Flora,"['high', 'some non-viable', 'many non-viable']"
Seed weight: 1. maximum,Ecological Flora,['value (mg)(air-dry weight)']
Seed weight: 1. mean,Ecological Flora,['value (mg)(air-dry weight)']
Seed weight: 2. minimum,Ecological Flora,['value (mg)(air-dry weight)']
Seedbank density,Ecological Flora,"['Value (seeds/sq m)', 'no seedbank recorded']"
Seedbank longevity,Ecological Flora,"['<3 months', '3-12 months', '1-5 years', '5-20 years', '>20 years']"
Seedbank type,Ecological Flora,
"Seedling growth rate (initial, per day)",Ecological Flora,['value']
Sepal Number,Ecological Flora,['value ?']
"Serotiny level (SerotinyLevel, V).",Ecological Flora,['(Average proportion of serotinous (closed) cones in the canopy (%) [Hernández-Serrano et al. 2013])']
Shade,Ecological Flora,"['none', 'light', 'mid', 'deep']"
Shade Tolerance,Ecological Flora,"['value 0-5(Low (0) to high (5) -Niinements & Validarez, Ecological Monographs 76:521–547)']"
"Shoot:root ratio (SRR, V).",Ecological Flora,"['(Shoot to root dry mass ratio in saplings (<=3 years old), excluding those from plantations.)', 'low(< 1.5)', 'high(>= 1.5)']"
Soil Moisture 1: Drainage,Ecological Flora,"['free draining', 'slow draining']"
Soil Moisture 1: Supply,Ecological Flora,"['Continuous', 'seasonal', 'intermittent']"
Soil Moisture 1: Water Table,Ecological Flora,"['permanently high', 'periodically high', 'permanently low']"
Soil nutrients,Ecological Flora,"['very fertile', 'fertile', 'infertile', 'very infertile']"
Soil pH 1: extreme maximum,Ecological Flora,['value']
Soil pH 2: extreme minimum,Ecological Flora,['value']
Soil pH 3: Typical maximum,Ecological Flora,['value']
Soil pH 4: Typical minimum,Ecological Flora,['value']
"Soil seed bank longevity (SoilSeedBank, V).",Ecological Flora,"['(Period that seeds remain viable in the soil seed bank inferred from: soil and vegetation comparisons (veg), experimental seed burial (bur), seed dormancy (dor) or unknown methods (unk). The method used is indicated after the vertical bar (response|method, e.g., persistent|veg).)', 'transient(no soil seed bank; seeds germinate in the first favorable season after dispersal. Normally seed bank longevity <= 1 yr (no persistent seed bank).)', 'persistent(seeds do not germinate in the first favorable season after dispersal. Normally seed bank longevity > 1 yr (could be longer but it is unknown).)', 'short-persistent(> 1 and <= 5 yr)', 'at least short-persistent(at least > 1 and <= 5 yr (could be longer but it is unknown).)', 'mid-persistent(at least > 5 yr (could be longer but it is unknown))', 'long-persistent(at least > 15 yr)', 'very long-persistent(>= 30 yr)']"
Southern European Limit,Ecological Flora,['(Native taxa at their southern European limit in the Br. Isles)']
"Southern European Limit (Lat, 5º band)",Ecological Flora,
"Spinescence (Spinescence, F).",Ecological Flora,"['(Presence/absence of spines, thorns, prickles and/or spiny leaves in vegetative organs.)', 'yes', 'no']"
Spread,Ecological Flora,"['height >> width', 'height = width', 'height << width', 'not applicable(submerged aquatics)']"
Stamen Number,Ecological Flora,['value ?']
Status,Ecological Flora,"['native', 'naturalised(introduced by man and capable of maintaining self-sustaining populations)']"
"Stem specific density (StemDensity, V).",Ecological Flora,"['(Oven-dry mass divided by the fresh volume of a section of the main stem40 (excluding bark for woody species; i.e., wood density) (g cm-3).)']"
Stems: 1.woodiness,Ecological Flora,"['non-woody', 'woody at base', 'woody']"
Stems:2. Support,Ecological Flora,"['creeping', 'decumbent', 'procumbent', 'prostrate', 'scrambling', 'self-supporting', 'twining', 'tendrils', 'climbing by adventitious roots']"
Stigma Number,Ecological Flora,['value ?']
Stomata 1. surfaces present,Ecological Flora,"['both', 'lower', 'upper', 'none', 'stem']"
Stomata:2 density on lower surface,Ecological Flora,['value (no per mm)']
Stomata:2 density on upper surface,Ecological Flora,['value (no per mm)']
Time of germination (season),Ecological Flora,"['spring', 'summer', 'autumn', 'winter', 'not observed']"
Time of seed dispersal (season),Ecological Flora,"['Spring', 'summer', 'autumn', 'winter']"
Typical abundance where naturally occurring,Ecological Flora,"['Dominant', 'frequent', 'scattered']"
Upper glume (grasses) size and description,Ecological Flora,
"Vegetative reproduction, persistence: 1 method",Ecological Flora,"['branching rootstock', 'buds', 'bulbils', 'bulbs', 'corms', 'creeping stock', 'rhizomes', 'root buds', 'rooting stem nodes', 'rooting twigs', 'stolons', 'suckers', 'turions', 'tubers']"
"Vegetative reproduction, persistence: 2 pattern",Ecological Flora,"['patch forming(sufficiently close that shoots are juxtaposed)', 'diffuse ramets(connected but shoots dispersed)', 'ramets not connected', 'no ramets']"
Water nutrient,Ecological Flora,"['eutrophic(Aquatic species)', 'mesotrophic', 'oligotrophic']"
Water pH 1: extreme maximum,Ecological Flora,['value(aquatic and wetland species)']
Water pH 2: extreme minimum,Ecological Flora,['value(aquatic and wetland species)']
Water pH 3: Typical maximum,Ecological Flora,['value(aquatic and wetland species)']
Water pH 4: Typical minimum,Ecological Flora,['value(aquatic and wetland species)']
Waterlogging tolerance,Ecological Flora,"['Value 0-5(Low (0) to high (5) -Niinements & Validarez, Ecological Monographs 76:521–547)']"
longevity of stems (years),Ecological Flora,"['<1', '45689', '45932', '10-100', '100-500', '>500']"
